Name and Address of Manager & Warden,City,State,Phone
"Managed by State Govt., Youth Hostel, Aberdeen Bazar PO, Port Blair- 744101, South Andaman, Andaman & Nicobar.",Port Blair,Andaman & Nicobar,NA
"Manager In charge, Youth Hostel, Balaji Nagar, Kadapa – 516003, YSR District, Andhra Pradesh",Kadapa,Andhra Pradesh,08562-356303 
"Manager, Youth Hostel, Vizianagaram, Andhra Pradesh",Vizianagaram,Andhra Pradesh,NA
"Manager In charge, Youth Hostel, Door No. 7-24-5, Beach Road, Beside YMCA Building, Kirlampudi Post, Vishakhapatnam -530017, Andhra Pradesh",Vishakhapatnam,Andhra Pradesh,"
0891-2568437

"
"Manager In charge, Youth Hostel, 3rd Cross Road, Veterinary Colony, Vijaywada – 520008, Krishna Distt., Andhra Pradesh.",Vijaywada,Andhra Pradesh,NA
"Manager, Youth Hostel, Tirupati, Andhra Pradesh.",Tirupati,Andhra Pradesh,"
0877-2240300"
"Managed by State Govt. Youth Hostel Roing, Arunachal Pradesh",Roing,Arunachal Pradesh,NA
"Manager In charge,Youth Hostel, PO/PS Naharlagun, A-Sector, Distt. Papum Pare, Naharalagun– 791101, Arunachal Pradesh.",Naharalagun,Arunachal Pradesh,NA
"Manager In charge, Youth Hostel, Paltan Bazar, PO. Guwahati – 781008, Assam",Guwahati,Assam,NA
"Manager In charge, Youth Hostel, C/O. Hazarapar Stadium, PO. Chandmari, Tezpur – 784001, Assam.",Tezpur,Assam,NA
"Manager In charge, Youth Hostel, Fraser Road, Near Maurya Hotel, Patna, Bihar – 800001",Patna,Bihar,"
0612-2211486"
"Manager in charge, Youth Hostel, Miramar, Panaji, Goa","Miramar, Panaji",Goa,"
0832-2465433
"
"Manager, Youth Hostel, Pedam Mapusa, Goa",Pedam Mapusa,Goa,"0832-2956600 
"
"Manager in charge, Youth Hostel, Opposite Govt. Arts & Science College, Sector - 16, Gandhinagar – 382016, Gujarat.",Gandhinagar,Gujarat,"
079-23222364"
"Manager, Youth Hostel,  Sirsa, Haryana",Sirsa,Haryana,NA
"Manager, Youth Hostel, Pipli, Kurukshetra, Haryana",Kurukshetra,Haryana,01744-230016 
"Manager In charge (DS&YAO), Youth Hostel, Tejli Sports Complex, Yamuna Nagar- 135001, Haryana",Yamuna Nagar,Haryana,NA
"Manager In charge, Youth Hostel, Near Bhim Stadium, Sadar Police Station, Bhiwani – 127021, Haryana.",Bhiwani,Haryana,NA
"Manager In charge, Youth Hostel, Behind John Hall, Civil Lines, Gurgaon– 122001, Haryana.",Gurgaon,Haryana,"
0124-2321945
"
"Managed by State Govt., Youth Hostel, Sector – 3, Near Majri Chowk, Panchkula– 134109, Haryana.",Panchkula,Haryana,NA
"Manager In charge, Youth Hostel, Rao Tula Ram Stadium, Delhi Road, Rewari– 123401, Haryana.",Rewari,Haryana,NA
"Manager, Youth Hostel, Dalhousie",Dalhousie,Himanchal Pradesh,01899-242189/240929
"Manager in charge, Youth Hostel, Opp. Elora Hotel, Srinagar– 190001, Jammu & Kashmir.",Srinagar,Jammu & Kashmir,NA
"Manager In charge, Youth Hostel, Patnitop, PO. Kud – 182142, Distt. Udhampur– 182101, Jammu & Kashmir.",Patnitop,Jammu & Kashmir,NA
"Manager, Youth Hostel, Hassan, Karnataka",Hassan,Karnataka,"
08172-246168"
"Manager, Youth Hostel, Mysore, Karnataka",Mysore,Karnataka,       0821-2544704
"Manager In charge, Youth Hostel, Belagautti Village, Honnali Taluk, Tirathrameshwar, Devanagere- 577002, Karnataka.",Devanagere,Karnataka,NA
"Manager In charge, Youth Hostel, Sogal– 591111, Karnataka.",Sogal,Karnataka,NA
"Manager, Youth Hostel, Veli, Karikkakom P.O., Thiruvananthapuram– 695021, Kerala""",Thiruvananthapuram,Kerala,"
0471-2501230"
"Manager in charge, Youth Hostel, East Hill, Kozhikode (Calicut), Kerala – 673005.",Kozhikode,Kerala,"0495 2381354 
"
"Manager In charge, Youth Hostel, Thrikkakara, NGO’s Quarter’s Junction, Kakkanad Route, Kochi, (Ernakulam) – 682021, Kerala.",Kochi,Kerala,"
0484-2422808"
"Manager, Youth Hostel, Bhopal, Madhya Pradesh",Bhopal,Madhya Pradesh,"
0755-2553670
"
"Manager, Youth Hostel, Jabalpur, Madhya Pradesh.",Jabalpur,Madhya Pradesh,"

0761-2415256 
"
"Manager in charge, Youth Hostel, Khajuraho, Chhatarpur– 471606, Madhya Pradesh.",Khajuraho,Madhya Pradesh,NA
"Manager, Youth Hostel, Station Road, Padmpura, Near Baba  Petrol Pump, Aurangabad - 431005, Maharashtra.",Aurangabad,Maharashtra,"
0240-2334892
"
"Manager, Youth Hostel, Imphal, Manipur. (North East)",Imphal,Manipur,"
0385-2953489"
"Manager In charge Youth Hostel, Churachandpur, Manipur – 795128.",Churachandpur,Manipur,NA
"Manager In charge Youth Hostel, Thoubal – 795138, Manipur.",Thoubal,Manipur,NA
"Manager, Youth Hostel, Shillong, Meghalaya (North East)",Shillong,Meghalaya,"
0364-2222246"
"Manager, Youth Hostel, Laungmual, Aizawl, Mizoram – 796009.",Aizawl,Mizoram,"
0398-2332243"
"Manager In charge, Youth Hostel, Opp. Railway Station, Dimapur – 797112, Nagaland.",Dimapur,Nagaland,NA
"Manager, Youth Hostel, Gopalpur-on-Sea, Odisha",Gopalpur-on-Sea,Odisha,"
0680-2343800
0680-2260199 (F)"
"Manager In charge, Youth Hostel, Chindri, At/PO./Distt. Korapur, Koraput– 764020, Odisha",Koraput,Odisha,NA
"Manager in charge, Youth Hostel, Chakratirtha Road, Puri, Odisha.",Puri,Odisha,"06752 295424 and 06752 222424.
"
"Manager In charge, Youth Hostel, Jashipur, At/PO. Jashipur, Mayurbhanj– 757034, Odisha.",Jashipur,Odisha,06797-232633 
"Manager in charge, Youth Hostel, Neithal Street,Solai Nagar, Muthialpet, Puducherry – 605003.",Puducherry,Puducherry,NA
"Manager, Youth Hostel, Tarn Taran, Punjab",Tarn Taran,Punjab,"9855407158
"
"Manager, Youth Hostel, Burlton Park, Near Surjit Hockey Sradium, Jalandhar, Punjab – 144001.",Jalandhar,Punjab,NA
"Manager In charge, Youth Hostel, G. T. Road, Mall Mandi Area, Near Panjpeer, Amritsar – 143001, Punjab.",Amritsar,Punjab,NA
"Manager In charge, Youth Hostel, Sahabzada Ajit Singh Youth Hostel, Moti Bagh Road, Patiala– 140071, Punjab.",Patiala,Punjab,"
0175-2200567
"
"Manager In charge, Youth Hostel, Roopnagar, Near General Bus Stand, Ropar – 140001, Punjab.",Ropar,Punjab,"
01881-220350"
"Manager In charge, Youth Hostel, Opposite Petrol Pump, Near Panchayat Bhawan, Patiala Gate, Sangrur – 148001, Punjab.",Sangrur,Punjab,"9975928326 (DYO)
"
"Manager, Youth Hostel, Jaipur, Rajasthan",Jaipur,Rajasthan,0141-2741130
"Manager in charge, Youth Hostel Ajmer, Opposite, Rajasthan Public Service Commission (RPSC), Jaipur Road, Ajmer - 300501, Rajasthan.",Ajmer,Rajasthan,NA
"Manager in charge, Youth Hostel, Shyam Nagar, Phase-1, B-Block, Chitrakut Nagar, Bhuwana, NH-8, By Pass, Khel Gaon, Udaipur– 313001, Rajasthan.",Udaipur,Rajasthan,NA
"Manager, Youth Hostel, Circuit House Road, Ratanada, Jodhpur– 342011, Rajasthan.",Jodhpur,Rajasthan,0291-2510160      
"Manager In charge, Youth Hostel, 6th`mile, Tagong, Gangtok– 737103, Sikkim.",Gangtok,Sikkim,NA
"Manager, Youth Hostel, Thanjavur, Tamil Nadu",Thanjavur,Tamil Nadu,"
04362-235097"
"Manager In charge, Youth Hostel, Race Course, Near M. G. R. Stadium, Madurai– 625002, Tamil Nadu.",Madurai,Tamil Nadu,NA
"Manager, Youth Hostel, Ooty, Tamil Nadu.",Ooty,Tamil Nadu, 0423-2443611
"Manager In charge, Youth Hostel, Near Anna Stadium, Khajamalai, Tiruchirapalli (Trichy) – 620023, Tamil Nadu.",Tiruchirapalli,Tamil Nadu,NA
"Manager in charge, Youth Hostel, 2nd Avenue, Indira Nagar, Chennai– 600020, Tamil Nadu.",Chennai,Tamil Nadu,"
044-24420233"
"Manager In charge, Youth Hostel, Near Bus Stand, Adjacent to J. N. Stadium, Hanamkonda, Warangal– 506001, Telangana",Warangal,Telangana,NA
"Manager In charge, Youth Hostel, H. No. 5-4-203, Near Boat Club, Behind Budha Bhavan, Secunderabad– 500003, Telangana.",Secunderabad,Telangana,"
040-27540763"
"Manager In charge, Youth Hostel, Hill Colony, Nagarjuna Sagar (NS Dam), Nalgonda– 508203, Telangana.",Nalgonda,Telangana,"
08680-277512"
"Managed by State Govt., Youth Hostel, Khejur Bagan, Post – Kunjaban, Agartala– 799006, Tripura West",Agartala,Tripura,NA
"Manager, Youth Hostel, Lucknow, Uttar Pradesh",Lucknow,Uttar Pradesh,NA
"Manager in charge, Youth Hostel, Sanjay Place, M. G. Road, (Near Hariparwat Crossing), Agra – 282002, Uttar Pradesh.",Agra,Uttar Pradesh,"
0562-2854462"
"Manager, Youth Hostel, Badrinath, Uttarakhand",Badrinath,Uttarakhand,NA
"Manager in charge, Youth Hostel, Nainital, Uttarakhand.",Nainital,Uttarakhand,"
05942-236353"
"Managed by State Govt., Youth Hostel, Mussoorie, Near MDDA Lake, Mussoorie, Dehradun – 248179, Uttarakhand.",Mussoorie,Uttarakhand,NA
"Manager in Charge, Youth Hostel, Manera, Uttarkashi - 249193, Uttarankhand",Uttarkashi,Uttarakhand,NA
"Manager in Charge, Youth Hostel, Tenzing Norgey Road, Darjeeling 734101 West Bengal.",Darjeeling,West Bengal,NA
